N_SET,N_CL,tsc,tsc_cat
5.0,5.0,13.117265714285717,tsc-12.983-14.893
6.0,6.0,13.132894285714286,tsc-12.983-14.893
5.0,6.0,17.475437142857142,tsc-16.786-20.106
4.0,5.0,15.12780857142857,tsc-14.976-16.783
5.0,6.0,13.076522857142857,tsc-12.983-14.893
4.0,6.0,15.464237142857144,tsc-14.976-16.783
3.0,4.0,13.410865714285716,tsc-12.983-14.893
4.0,5.0,15.127808571428574,tsc-14.976-16.783
3.0,5.0,13.438608571428572,tsc-12.983-14.893
4.0,5.0,13.83538,tsc-12.983-14.893
5.0,6.0,13.112008571428571,tsc-12.983-14.893
4.0,6.0,13.440122857142857,tsc-12.983-14.893
3.0,5.0,13.400980000000002,tsc-12.983-14.893
4.0,6.0,13.466865714285712,tsc-12.983-14.893
3.0,6.0,13.753208571428573,tsc-12.983-14.893
2.0,3.0,13.299922857142857,tsc-12.983-14.893
3.0,4.0,15.130065714285713,tsc-14.976-16.783
2.0,4.0,14.188522857142855,tsc-12.983-14.893
3.0,4.0,13.092065714285711,tsc-12.983-14.893
4.0,5.0,13.783694285714288,tsc-12.983-14.893
3.0,5.0,15.385265714285715,tsc-14.976-16.783
2.0,4.0,13.828665714285714,tsc-12.983-14.893
3.0,5.0,13.620751428571426,tsc-12.983-14.893
2.0,5.0,15.770637142857144,tsc-14.976-16.783
3.0,4.0,13.06080857142857,tsc-12.983-14.893
4.0,5.0,13.077494285714286,tsc-12.983-14.893
3.0,5.0,13.40558,tsc-12.983-14.893
4.0,5.0,15.910837142857144,tsc-14.976-16.783
5.0,6.0,17.228122857142857,tsc-16.786-20.106
4.0,6.0,13.773951428571433,tsc-12.983-14.893
3.0,5.0,13.795837142857142,tsc-12.983-14.893
4.0,6.0,15.511094285714286,tsc-14.976-16.783
3.0,6.0,15.864694285714286,tsc-14.976-16.783
2.0,4.0,13.43572285714286,tsc-12.983-14.893
3.0,5.0,15.637294285714287,tsc-14.976-16.783
2.0,5.0,13.726151428571429,tsc-12.983-14.893
3.0,5.0,13.748408571428572,tsc-12.983-14.893
4.0,6.0,13.396437142857144,tsc-12.983-14.893
3.0,6.0,15.875122857142859,tsc-14.976-16.783
2.0,5.0,13.741294285714286,tsc-12.983-14.893
3.0,6.0,13.708122857142856,tsc-12.983-14.893
2.0,6.0,14.036837142857143,tsc-12.983-14.893
1.0,2.0,10.025751428571429,tsc-09.623-12.964
2.0,3.0,9.989437142857142,tsc-09.623-12.964
1.0,3.0,10.297294285714283,tsc-09.623-12.964
2.0,3.0,10.364522857142855,tsc-09.623-12.964
3.0,4.0,10.215037142857144,tsc-09.623-12.964
2.0,4.0,10.762465714285714,tsc-09.623-12.964
1.0,3.0,10.352065714285716,tsc-09.623-12.964
2.0,4.0,10.667665714285715,tsc-09.623-12.964
1.0,4.0,11.321837142857143,tsc-09.623-12.964
2.0,3.0,10.358551428571428,tsc-09.623-12.964
3.0,4.0,10.021465714285714,tsc-09.623-12.964
2.0,4.0,10.380722857142857,tsc-09.623-12.964
3.0,4.0,10.023351428571429,tsc-09.623-12.964
4.0,5.0,10.022608571428568,tsc-09.623-12.964
3.0,5.0,10.527122857142857,tsc-09.623-12.964
2.0,4.0,10.333694285714284,tsc-09.623-12.964
3.0,5.0,10.40275142857143,tsc-09.623-12.964
2.0,5.0,10.791951428571428,tsc-09.623-12.964
1.0,3.0,10.329151428571429,tsc-09.623-12.964
2.0,4.0,10.326722857142856,tsc-09.623-12.964
1.0,4.0,10.728151428571428,tsc-09.623-12.964
2.0,4.0,10.303951428571429,tsc-09.623-12.964
3.0,5.0,10.658665714285716,tsc-09.623-12.964
2.0,5.0,11.011322857142858,tsc-09.623-12.964
1.0,4.0,11.023151428571426,tsc-09.623-12.964
2.0,5.0,10.697637142857143,tsc-09.623-12.964
1.0,5.0,11.031265714285714,tsc-09.623-12.964
2.0,3.0,10.03000857142857,tsc-09.623-12.964
3.0,4.0,10.52472285714286,tsc-09.623-12.964
2.0,4.0,10.35578,tsc-09.623-12.964
3.0,4.0,10.001494285714283,tsc-09.623-12.964
4.0,5.0,10.020608571428571,tsc-09.623-12.964
3.0,5.0,10.362065714285714,tsc-09.623-12.964
2.0,4.0,10.450294285714287,tsc-09.623-12.964
3.0,5.0,10.318465714285711,tsc-09.623-12.964
2.0,5.0,10.627894285714287,tsc-09.623-12.964
3.0,4.0,10.052865714285716,tsc-09.623-12.964
4.0,5.0,10.025494285714286,tsc-09.623-12.964
3.0,5.0,10.329408571428573,tsc-09.623-12.964
4.0,5.0,10.074894285714288,tsc-09.623-12.964
5.0,6.0,10.053237142857142,tsc-09.623-12.964
4.0,6.0,10.409237142857146,tsc-09.623-12.964
3.0,5.0,10.33072285714286,tsc-09.623-12.964
4.0,6.0,10.358094285714287,tsc-09.623-12.964
3.0,6.0,10.852465714285714,tsc-09.623-12.964
2.0,4.0,10.324951428571428,tsc-09.623-12.964
3.0,5.0,11.128922857142856,tsc-09.623-12.964
2.0,5.0,10.639380000000001,tsc-09.623-12.964
3.0,5.0,10.377894285714284,tsc-09.623-12.964
4.0,6.0,10.34278,tsc-09.623-12.964
3.0,6.0,11.084322857142856,tsc-09.623-12.964
2.0,5.0,10.635065714285716,tsc-09.623-12.964
3.0,6.0,10.702922857142855,tsc-09.623-12.964
2.0,6.0,10.988780000000002,tsc-09.623-12.964
1.0,3.0,10.39078,tsc-09.623-12.964
2.0,4.0,10.361322857142856,tsc-09.623-12.964
1.0,4.0,10.70632285714286,tsc-09.623-12.964
2.0,4.0,10.684437142857144,tsc-09.623-12.964
3.0,5.0,10.650551428571431,tsc-09.623-12.964
2.0,5.0,10.666122857142858,tsc-09.623-12.964
1.0,4.0,10.710180000000005,tsc-09.623-12.964
2.0,5.0,10.746294285714285,tsc-09.623-12.964
1.0,5.0,11.299465714285716,tsc-09.623-12.964
2.0,4.0,10.314294285714285,tsc-09.623-12.964
3.0,5.0,10.387294285714288,tsc-09.623-12.964
2.0,5.0,11.200094285714286,tsc-09.623-12.964
3.0,5.0,10.63180857142857,tsc-09.623-12.964
4.0,6.0,10.339351428571428,tsc-09.623-12.964
3.0,6.0,11.491065714285714,tsc-09.623-12.964
2.0,5.0,10.667065714285714,tsc-09.623-12.964
3.0,6.0,10.66360857142857,tsc-09.623-12.964
2.0,6.0,11.19752285714286,tsc-09.623-12.964
1.0,4.0,10.899837142857145,tsc-09.623-12.964
2.0,5.0,10.95423714285714,tsc-09.623-12.964
1.0,5.0,10.990351428571428,tsc-09.623-12.964
2.0,5.0,11.40020857142857,tsc-09.623-12.964
3.0,6.0,10.939922857142856,tsc-09.623-12.964
2.0,6.0,11.10578,tsc-09.623-12.964
1.0,5.0,11.691922857142856,tsc-09.623-12.964
2.0,6.0,11.301322857142855,tsc-09.623-12.964
1.0,6.0,12.035722857142858,tsc-09.623-12.964
2.0,2.0,10.06415142857143,tsc-09.623-12.964
3.0,3.0,10.338322857142858,tsc-09.623-12.964
2.0,3.0,10.189522857142858,tsc-09.623-12.964
3.0,3.0,9.710637142857143,tsc-09.623-12.964
4.0,4.0,10.029094285714288,tsc-09.623-12.964
3.0,4.0,10.625665714285716,tsc-09.623-12.964
2.0,3.0,10.390894285714284,tsc-09.623-12.964
3.0,4.0,10.379065714285714,tsc-09.623-12.964
2.0,4.0,10.519522857142857,tsc-09.623-12.964
3.0,3.0,9.75015142857143,tsc-09.623-12.964
4.0,4.0,9.723722857142858,tsc-09.623-12.964
3.0,4.0,9.993951428571426,tsc-09.623-12.964
4.0,4.0,10.255837142857144,tsc-09.623-12.964
5.0,5.0,9.733694285714288,tsc-09.623-12.964
4.0,5.0,10.006208571428573,tsc-09.623-12.964
3.0,4.0,9.98080857142857,tsc-09.623-12.964
4.0,5.0,10.010094285714285,tsc-09.623-12.964
3.0,5.0,10.494322857142858,tsc-09.623-12.964
2.0,3.0,10.084722857142856,tsc-09.623-12.964
3.0,4.0,9.947551428571426,tsc-09.623-12.964
2.0,4.0,10.377265714285715,tsc-09.623-12.964
3.0,4.0,10.05855142857143,tsc-09.623-12.964
4.0,5.0,10.337922857142855,tsc-09.623-12.964
3.0,5.0,10.964208571428571,tsc-09.623-12.964
2.0,4.0,10.32840857142857,tsc-09.623-12.964
3.0,5.0,10.723237142857144,tsc-09.623-12.964
2.0,5.0,10.980808571428572,tsc-09.623-12.964
3.0,3.0,9.73583714285714,tsc-09.623-12.964
4.0,4.0,9.706237142857145,tsc-09.623-12.964
3.0,4.0,10.210922857142858,tsc-09.623-12.964
4.0,4.0,10.343208571428573,tsc-09.623-12.964
5.0,5.0,9.716608571428573,tsc-09.623-12.964
4.0,5.0,10.004722857142855,tsc-09.623-12.964
3.0,4.0,9.97278,tsc-09.623-12.964
4.0,5.0,10.019265714285714,tsc-09.623-12.964
3.0,5.0,10.67675142857143,tsc-09.623-12.964
4.0,4.0,9.71055142857143,tsc-09.623-12.964
5.0,5.0,9.749837142857142,tsc-09.623-12.964
4.0,5.0,10.021551428571428,tsc-09.623-12.964
5.0,5.0,9.681465714285713,tsc-09.623-12.964
6.0,6.0,9.692094285714289,tsc-09.623-12.964
5.0,6.0,10.035751428571428,tsc-09.623-12.964
4.0,5.0,10.047294285714289,tsc-09.623-12.964
5.0,6.0,10.191980000000001,tsc-09.623-12.964
4.0,6.0,10.37578,tsc-09.623-12.964
3.0,4.0,10.02992285714286,tsc-09.623-12.964
4.0,5.0,10.042408571428572,tsc-09.623-12.964
3.0,5.0,10.416094285714284,tsc-09.623-12.964
4.0,5.0,9.992122857142858,tsc-09.623-12.964
5.0,6.0,10.035522857142857,tsc-09.623-12.964
4.0,6.0,10.509637142857144,tsc-09.623-12.964
3.0,5.0,10.396208571428572,tsc-09.623-12.964
4.0,6.0,10.648522857142856,tsc-09.623-12.964
3.0,6.0,10.62732285714286,tsc-09.623-12.964
2.0,3.0,10.398037142857143,tsc-09.623-12.964
3.0,4.0,10.037065714285717,tsc-09.623-12.964
2.0,4.0,10.323894285714283,tsc-09.623-12.964
3.0,4.0,10.07135142857143,tsc-09.623-12.964
4.0,5.0,10.407122857142856,tsc-09.623-12.964
3.0,5.0,11.033265714285717,tsc-09.623-12.964
2.0,4.0,10.53018,tsc-09.623-12.964
3.0,5.0,10.635522857142858,tsc-09.623-12.964
2.0,5.0,10.976894285714284,tsc-09.623-12.964
3.0,4.0,10.040037142857145,tsc-09.623-12.964
4.0,5.0,10.079437142857143,tsc-09.623-12.964
3.0,5.0,10.334208571428572,tsc-09.623-12.964
4.0,5.0,9.990437142857145,tsc-09.623-12.964
5.0,6.0,10.008922857142858,tsc-09.623-12.964
4.0,6.0,10.428951428571429,tsc-09.623-12.964
3.0,5.0,10.591151428571427,tsc-09.623-12.964
4.0,6.0,10.343037142857142,tsc-09.623-12.964
3.0,6.0,10.986551428571428,tsc-09.623-12.964
2.0,4.0,10.685551428571427,tsc-09.623-12.964
3.0,5.0,10.336894285714283,tsc-09.623-12.964
2.0,5.0,10.691465714285714,tsc-09.623-12.964
3.0,5.0,10.320922857142856,tsc-09.623-12.964
4.0,6.0,10.686322857142857,tsc-09.623-12.964
3.0,6.0,10.93780857142857,tsc-09.623-12.964
2.0,5.0,11.019694285714287,tsc-09.623-12.964
3.0,6.0,10.71458,tsc-09.623-12.964
2.0,6.0,11.254294285714284,tsc-09.623-12.964
3.0,3.0,14.859437142857145,tsc-14.976-16.783
4.0,4.0,12.792665714285715,tsc-12.983-14.893
3.0,4.0,15.185694285714284,tsc-14.976-16.783
4.0,4.0,13.104008571428574,tsc-12.983-14.893
5.0,5.0,12.819065714285717,tsc-12.983-14.893
4.0,5.0,13.13660857142857,tsc-12.983-14.893
3.0,4.0,13.444265714285716,tsc-12.983-14.893
4.0,5.0,13.118694285714286,tsc-12.983-14.893
3.0,5.0,13.472894285714286,tsc-12.983-14.893
4.0,4.0,13.099722857142856,tsc-12.983-14.893
5.0,5.0,12.745951428571429,tsc-12.983-14.893
4.0,5.0,13.12495142857143,tsc-12.983-14.893
5.0,5.0,13.069751428571431,tsc-12.983-14.893
6.0,6.0,13.058265714285715,tsc-12.983-14.893
5.0,6.0,13.168751428571428,tsc-12.983-14.893
4.0,5.0,13.141151428571428,tsc-12.983-14.893
5.0,6.0,13.104608571428573,tsc-12.983-14.893
4.0,6.0,15.77138,tsc-14.976-16.783
3.0,4.0,13.026522857142856,tsc-12.983-14.893
4.0,5.0,13.43232285714286,tsc-12.983-14.893
3.0,5.0,15.67598,tsc-14.976-16.783
4.0,5.0,13.076951428571428,tsc-12.983-14.893
5.0,6.0,13.10215142857143,tsc-12.983-14.893
4.0,6.0,15.420865714285714,tsc-14.976-16.783
3.0,5.0,13.962608571428571,tsc-12.983-14.893
4.0,6.0,18.47426571428571,tsc-16.786-20.106
3.0,6.0,15.762894285714285,tsc-14.976-16.783
4.0,4.0,14.819037142857145,tsc-14.976-16.783
5.0,5.0,12.794751428571429,tsc-12.983-14.893
4.0,5.0,13.515465714285716,tsc-12.983-14.893
5.0,5.0,13.433465714285717,tsc-12.983-14.893
6.0,6.0,17.049237142857145,tsc-16.786-20.106
5.0,6.0,13.049351428571429,tsc-12.983-14.893
4.0,5.0,17.906922857142856,tsc-16.786-20.106
5.0,6.0,15.799522857142858,tsc-14.976-16.783
4.0,6.0,15.83955142857143,tsc-14.976-16.783
5.0,5.0,13.127494285714286,tsc-12.983-14.893
6.0,6.0,12.983322857142856,tsc-12.983-14.893
5.0,6.0,17.51320857142857,tsc-16.786-20.106
6.0,6.0,12.75238,tsc-12.983-14.893
7.0,7.0,12.780208571428572,tsc-12.983-14.893
6.0,7.0,15.63278,tsc-14.976-16.783
5.0,6.0,13.201437142857143,tsc-12.983-14.893
6.0,7.0,15.168151428571427,tsc-14.976-16.783
5.0,7.0,13.396294285714283,tsc-12.983-14.893
4.0,5.0,13.056551428571428,tsc-12.983-14.893
5.0,6.0,13.142722857142855,tsc-12.983-14.893
4.0,6.0,16.083122857142857,tsc-14.976-16.783
5.0,6.0,13.074465714285711,tsc-12.983-14.893
6.0,7.0,13.07858,tsc-12.983-14.893
5.0,7.0,17.541951428571423,tsc-16.786-20.106
4.0,6.0,13.445951428571428,tsc-12.983-14.893
5.0,7.0,13.40378,tsc-12.983-14.893
4.0,7.0,13.97660857142857,tsc-12.983-14.893
3.0,4.0,13.118008571428572,tsc-12.983-14.893
4.0,5.0,15.547665714285714,tsc-14.976-16.783
3.0,5.0,15.787265714285716,tsc-14.976-16.783
4.0,5.0,13.05018,tsc-12.983-14.893
5.0,6.0,13.221065714285714,tsc-12.983-14.893
4.0,6.0,15.450951428571429,tsc-14.976-16.783
3.0,5.0,13.46240857142857,tsc-12.983-14.893
4.0,6.0,15.880408571428571,tsc-14.976-16.783
3.0,6.0,15.913865714285713,tsc-14.976-16.783
4.0,5.0,13.09238,tsc-12.983-14.893
5.0,6.0,17.21760857142857,tsc-16.786-20.106
4.0,6.0,15.473922857142856,tsc-14.976-16.783
5.0,6.0,13.362722857142856,tsc-12.983-14.893
6.0,7.0,17.51300857142857,tsc-16.786-20.106
5.0,7.0,16.17578,tsc-14.976-16.783
4.0,6.0,13.709294285714284,tsc-12.983-14.893
5.0,7.0,13.59398,tsc-12.983-14.893
4.0,7.0,14.341437142857142,tsc-12.983-14.893
3.0,5.0,15.563665714285712,tsc-14.976-16.783
4.0,6.0,13.823008571428572,tsc-12.983-14.893
3.0,6.0,13.765665714285712,tsc-12.983-14.893
4.0,6.0,13.419979999999995,tsc-12.983-14.893
5.0,7.0,15.82415142857143,tsc-14.976-16.783
4.0,7.0,13.708551428571429,tsc-12.983-14.893
3.0,6.0,14.312294285714286,tsc-12.983-14.893
4.0,7.0,15.825151428571427,tsc-14.976-16.783
3.0,7.0,14.114808571428572,tsc-12.983-14.893
2.0,3.0,10.061065714285714,tsc-09.623-12.964
3.0,4.0,10.039379999999998,tsc-09.623-12.964
2.0,4.0,10.33560857142857,tsc-09.623-12.964
3.0,4.0,10.040037142857145,tsc-09.623-12.964
4.0,5.0,10.05483714285714,tsc-09.623-12.964
3.0,5.0,10.31438,tsc-09.623-12.964
2.0,4.0,10.677894285714284,tsc-09.623-12.964
3.0,5.0,10.404351428571427,tsc-09.623-12.964
2.0,5.0,10.658208571428572,tsc-09.623-12.964
3.0,4.0,10.054065714285716,tsc-09.623-12.964
4.0,5.0,10.033094285714286,tsc-09.623-12.964
3.0,5.0,10.397408571428572,tsc-09.623-12.964
4.0,5.0,10.053579999999998,tsc-09.623-12.964
5.0,6.0,9.985551428571428,tsc-09.623-12.964
4.0,6.0,10.368151428571428,tsc-09.623-12.964
3.0,5.0,11.095037142857144,tsc-09.623-12.964
4.0,6.0,10.404522857142856,tsc-09.623-12.964
3.0,6.0,10.680894285714285,tsc-09.623-12.964
2.0,4.0,10.352751428571429,tsc-09.623-12.964
3.0,5.0,10.362979999999999,tsc-09.623-12.964
2.0,5.0,11.243351428571428,tsc-09.623-12.964
3.0,5.0,10.526837142857143,tsc-09.623-12.964
4.0,6.0,10.61398,tsc-09.623-12.964
3.0,6.0,10.987408571428572,tsc-09.623-12.964
2.0,5.0,10.678808571428572,tsc-09.623-12.964
3.0,6.0,10.99878,tsc-09.623-12.964
2.0,6.0,11.467494285714286,tsc-09.623-12.964
3.0,4.0,10.044837142857144,tsc-09.623-12.964
4.0,5.0,10.08595142857143,tsc-09.623-12.964
3.0,5.0,10.397637142857144,tsc-09.623-12.964
4.0,5.0,10.220808571428574,tsc-09.623-12.964
5.0,6.0,10.017322857142858,tsc-09.623-12.964
4.0,6.0,10.398665714285713,tsc-09.623-12.964
3.0,5.0,10.840265714285712,tsc-09.623-12.964
4.0,6.0,10.757522857142858,tsc-09.623-12.964
3.0,6.0,10.909951428571429,tsc-09.623-12.964
4.0,5.0,9.98538,tsc-09.623-12.964
5.0,6.0,10.378237142857143,tsc-09.623-12.964
4.0,6.0,10.331522857142858,tsc-09.623-12.964
5.0,6.0,10.016322857142857,tsc-09.623-12.964
6.0,7.0,9.984322857142857,tsc-09.623-12.964
5.0,7.0,10.309922857142857,tsc-09.623-12.964
4.0,6.0,10.363437142857142,tsc-09.623-12.964
5.0,7.0,10.663351428571428,tsc-09.623-12.964
4.0,7.0,10.726494285714288,tsc-09.623-12.964
3.0,5.0,10.36383714285714,tsc-09.623-12.964
4.0,6.0,10.338208571428572,tsc-09.623-12.964
3.0,6.0,10.720008571428574,tsc-09.623-12.964
4.0,6.0,10.343722857142856,tsc-09.623-12.964
5.0,7.0,10.358437142857143,tsc-09.623-12.964
4.0,7.0,10.661294285714288,tsc-09.623-12.964
3.0,6.0,10.680151428571431,tsc-09.623-12.964
4.0,7.0,10.673465714285712,tsc-09.623-12.964
3.0,7.0,11.361265714285713,tsc-09.623-12.964
2.0,4.0,10.353694285714289,tsc-09.623-12.964
3.0,5.0,10.346751428571428,tsc-09.623-12.964
2.0,5.0,10.78223714285714,tsc-09.623-12.964
3.0,5.0,10.673465714285712,tsc-09.623-12.964
4.0,6.0,10.33338,tsc-09.623-12.964
3.0,6.0,11.010694285714283,tsc-09.623-12.964
2.0,5.0,10.693722857142856,tsc-09.623-12.964
3.0,6.0,10.60995142857143,tsc-09.623-12.964
2.0,6.0,11.04840857142857,tsc-09.623-12.964
3.0,5.0,10.36638,tsc-09.623-12.964
4.0,6.0,10.337751428571428,tsc-09.623-12.964
3.0,6.0,10.721722857142856,tsc-09.623-12.964
4.0,6.0,10.37800857142857,tsc-09.623-12.964
5.0,7.0,10.293522857142856,tsc-09.623-12.964
4.0,7.0,10.704151428571429,tsc-09.623-12.964
3.0,6.0,10.684637142857143,tsc-09.623-12.964
4.0,7.0,10.897065714285716,tsc-09.623-12.964
3.0,7.0,10.978580000000001,tsc-09.623-12.964
2.0,5.0,11.643865714285711,tsc-09.623-12.964
3.0,6.0,10.70752285714286,tsc-09.623-12.964
2.0,6.0,10.982637142857143,tsc-09.623-12.964
3.0,6.0,10.708465714285714,tsc-09.623-12.964
4.0,7.0,10.942722857142856,tsc-09.623-12.964
3.0,7.0,10.986751428571429,tsc-09.623-12.964
2.0,6.0,11.00175142857143,tsc-09.623-12.964
3.0,7.0,11.010751428571428,tsc-09.623-12.964
2.0,7.0,11.316151428571429,tsc-09.623-12.964
1.0,2.0,10.007094285714286,tsc-09.623-12.964
2.0,3.0,10.040522857142856,tsc-09.623-12.964
1.0,3.0,10.354351428571428,tsc-09.623-12.964
2.0,3.0,10.020094285714285,tsc-09.623-12.964
3.0,4.0,10.373380000000001,tsc-09.623-12.964
2.0,4.0,10.514351428571429,tsc-09.623-12.964
1.0,3.0,10.33618,tsc-09.623-12.964
2.0,4.0,10.601265714285717,tsc-09.623-12.964
1.0,4.0,10.62152285714286,tsc-09.623-12.964
2.0,3.0,10.381665714285717,tsc-09.623-12.964
3.0,4.0,10.263065714285714,tsc-09.623-12.964
2.0,4.0,10.300694285714284,tsc-09.623-12.964
3.0,4.0,10.300151428571429,tsc-09.623-12.964
4.0,5.0,9.973151428571429,tsc-09.623-12.964
3.0,5.0,10.352865714285715,tsc-09.623-12.964
