,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_RETIRED:ALL,UOPS_ISSUED:ALL,UOPS_EXECUTED:THREAD,UOPS_RETIRED:STALL_CYCLES,UOPS_ISSUED:STALL_CYCLES,UOPS_EXECUTED:STALL_CYCLES,CL,V_LEN,X_IDX_A,X_N,BROADCAST,X_IDX_B,X_IDX_C,X_IDX_D,X_IDX_E,X_IDX_F,X_IDX_G,X_IDX_H,N_CL
39,5.0057618,6.0001656,9.0009932,8.0012094,8.0010844,0.0022902,3.002325,1.7932912,3,8,0,6,,1,16,19,32.0,38.0,-1.0,-1.0,"(6, 3)"
40,5.0064946,6.000165,9.0007292,8.000925800000001,8.0008902,0.0018996,3.0018984000000004,1.5109198,3,8,7,6,,11,16,19,32.0,38.0,-1.0,-1.0,"(6, 3)"
41,5.0055156,6.0001656,9.0009492,8.001198,8.001152999999999,0.0023426,3.0023720000000003,1.5204577999999995,4,8,0,6,,1,16,32,48.0,49.0,-1.0,-1.0,"(6, 4)"
42,5.0067104,6.0001658,9.000916799999999,8.001212200000001,8.0010172,0.0021522,3.0020228,1.3871092,4,8,0,6,,1,2,32,48.0,65.0,-1.0,-1.0,"(6, 4)"
43,5.6145786,6.0001658,9.0009156,8.001145399999999,8.0010858,0.6064328000000001,3.6020151999999994,1.9091802,4,8,7,6,,11,16,32,48.0,50.0,-1.0,-1.0,"(6, 4)"
44,5.006641,6.000165399999999,9.000822000000001,8.00093,8.0008898,0.0018668,3.001843,1.4049333999999998,5,8,0,6,,1,16,32,48.0,64.0,-1.0,-1.0,"(6, 5)"
45,5.0063332,6.0001656,9.000868,8.000938,8.000890799999999,0.0019552,3.0019348,1.4065056,5,8,0,6,,11,16,32,48.0,64.0,-1.0,-1.0,"(6, 5)"
46,5.0059272,6.0001658,9.000870799999998,8.001327,8.0010936,0.0021994,3.0021746,1.5315169999999998,6,8,0,6,,18,33,49,64.0,83.0,-1.0,-1.0,"(6, 6)"
47,1.0034996,4.0001628,5.000448,4.000551199999999,5.0003968,0.000868,0.0008134,0.0007061999999999,1,8,0,7,,1,2,3,4.0,5.0,6.0,-1.0,"(7, 1)"
48,1.5875264,4.0001626,5.000354,4.0005538000000005,5.000571,0.5398452,0.584957,0.2587576,1,8,3,7,,4,5,6,7.0,8.0,9.0,-1.0,"(7, 1)"
49,5.009767999999999,6.0001656,9.0008684,8.001142,8.001092,0.0021018,3.0021218000000003,1.6837744,1,8,3,7,,4,5,6,7.0,9.0,11.0,-1.0,"(7, 1)"
50,5.0058692,6.0001658,9.0009928,8.0013322,8.0012196,0.002353,3.0023422,1.7500356,1,8,1,7,,4,5,6,7.0,8.0,9.0,-1.0,"(7, 1)"
51,4.004822399999999,9.000162,10.0007236,8.000869400000001,10.000905,1.0018281999999998,1.0015428,0.001544,1,8,0,7,,1,5,6,7.0,8.0,9.0,-1.0,"(7, 1)"
52,5.0054628,6.0001656,9.000901200000001,8.001076000000001,8.0010182,0.0021158,3.0019666,1.6613262,1,8,1,7,,4,6,9,11.0,12.0,13.0,-1.0,"(7, 1)"
53,5.0053906,6.0001654,9.0008668,8.001189,8.0011432,0.0021936,3.0022066,1.5689848000000002,1,8,1,7,,4,6,9,11.0,13.0,15.0,-1.0,"(7, 1)"
54,1.5048442,6.0001628,7.000448,6.0005464,7.0004644,0.0010654,0.0011604,0.000932,2,8,0,7,,1,2,3,16.0,17.0,18.0,-1.0,"(7, 2)"
55,5.005509999999999,6.0001654,9.0009016,8.0010864,8.0010266,0.002154,3.0020198,1.7324069999999998,2,8,0,7,,1,2,16,17.0,18.0,19.0,-1.0,"(7, 2)"
56,5.0051424,6.000165,9.0008064,8.0009194,8.0008854,0.0019542,3.0019398,1.5474152,2,8,0,7,,1,2,16,17.0,19.0,20.0,-1.0,"(7, 2)"
57,5.405573,6.0001656,9.000868400000002,8.0012428,8.001180600000001,0.4021444,3.4021694000000005,1.7950177999999997,2,8,0,7,,1,2,20,26.0,29.0,30.0,-1.0,"(7, 2)"
58,5.0064728,6.000166,9.0008228,8.001064199999998,8.0010174,0.002117,3.001948,1.6719596000000003,2,8,0,7,,5,11,20,26.0,27.0,28.0,-1.0,"(7, 2)"
59,5.0055228,6.000165399999999,9.000855999999999,8.0011836,8.001014999999999,0.0021688,3.0021385999999994,1.3259822,2,8,0,7,,5,11,20,26.0,29.0,31.0,-1.0,"(7, 2)"
60,5.005387600000001,6.000165399999999,9.0008544,8.001101600000002,8.000949400000001,0.002027,3.002092,1.5511648,2,8,1,7,,2,11,20,26.0,29.0,31.0,-1.0,"(7, 2)"
61,5.0055414,6.0001658,9.000869,8.0012988,8.0011832,0.0022448,3.0021986,1.4285146000000002,2,8,1,7,,17,19,20,26.0,31.0,33.0,-1.0,"(7, 2)"
62,5.005878600000001,6.0001658,9.000868800000001,8.001246,8.001191,0.0022486,3.0022548,1.4982622,2,8,1,7,,17,19,20,26.0,31.0,32.0,-1.0,"(7, 2)"
63,5.618122600000001,6.0001654,9.000822800000002,8.0012646,8.0011834,0.6274928,3.6274698,1.8306068,2,8,1,7,,17,19,20,26.0,31.0,35.0,-1.0,"(7, 2)"
64,5.4053966,6.0001656,9.0009472,8.0012514,8.0011522,0.4021818,3.4022301999999995,1.8001796,3,8,0,7,,1,2,16,32.0,33.0,34.0,-1.0,"(7, 3)"
65,5.6361046,6.0001658,9.00087,8.0011308,8.0010794,0.6126608,3.6277116,1.8285394,3,8,0,7,,1,2,3,16.0,32.0,38.0,-1.0,"(7, 3)"
66,5.0053664,6.000165399999999,9.0009434,8.0011892,8.0010668,0.0021638,3.0019674000000003,1.5604702000000004,3,8,0,7,,1,2,19,33.0,38.0,40.0,-1.0,"(7, 3)"
67,5.0052912,6.000165,9.000806800000001,8.0009306,8.000954799999999,0.002038,3.002003,1.4534152,3,8,0,7,,1,16,17,32.0,38.0,39.0,-1.0,"(7, 3)"
68,5.005737,6.0001652,9.0007756,8.000936,8.0009626,0.0020086,3.0020566000000004,1.6264043999999998,3,8,0,7,,1,16,19,32.0,38.0,39.0,-1.0,"(7, 3)"
69,5.0049684,6.0001652,9.000822,8.001068400000001,8.0010184,0.0021678,3.0021416000000003,1.676937,3,8,7,7,,11,16,19,32.0,38.0,39.0,-1.0,"(7, 3)"
70,5.0054874,6.0001656,9.0008692,8.0010632,8.0010232,0.0021224,3.0021008,1.5540142,4,8,0,7,,1,16,32,48.0,49.0,50.0,-1.0,"(7, 4)"
71,5.0061222,6.0001652,9.0007756,8.001005600000001,8.0009546,0.0020354,3.00205,1.6591036,4,8,0,7,,1,2,32,48.0,65.0,66.0,-1.0,"(7, 4)"
72,6.031590399999999,6.0001658,9.000963200000001,8.001280399999999,8.0012214,1.0132788,4.0025686,2.2279166,4,8,7,7,,11,16,32,48.0,50.0,51.0,-1.0,"(7, 4)"
73,5.0053904,6.0001652,9.0008556,8.001044,8.0008888,0.0019798,3.0019408,1.524086,4,8,7,7,,11,16,32,48.0,50.0,55.0,-1.0,"(7, 4)"
74,5.0056834,6.0001656,9.0008688,8.001129,8.0010888,0.0021604,3.0019834,1.5217778,5,8,0,7,,1,16,32,48.0,64.0,65.0,-1.0,"(7, 5)"
75,5.0055986,6.0001654,9.000900000000001,8.001278,8.0012036,0.0024205999999999,3.0024384,1.5092992000000005,5,8,0,7,,1,16,32,48.0,64.0,67.0,-1.0,"(7, 5)"
76,5.005692,6.0001652,9.000854400000001,8.001047400000001,8.0009868,0.0019484,3.0019268,1.3229958,5,8,0,7,,11,16,32,48.0,64.0,65.0,-1.0,"(7, 5)"
77,5.0064616,6.0001656,9.0008692,8.0011516,8.0010926,0.0022326,3.0020942,1.4315662,5,8,0,7,,11,16,32,49.0,65.0,69.0,-1.0,"(7, 5)"
78,5.0055622,6.0001656,9.0009464,8.0011306,8.0010816,0.0019782,3.0019808,1.5815338,6,8,0,7,,18,33,49,64.0,83.0,84.0,-1.0,"(7, 6)"
79,5.006116400000001,6.000165399999999,9.000822799999998,8.0010698,8.0009594,0.0019838,3.001971,1.3534897999999995,6,8,0,7,,18,33,49,64.0,83.0,85.0,-1.0,"(7, 6)"
80,5.406739399999999,6.0001658,9.000916799999999,8.001133800000002,8.0010182,0.402321,3.4023282000000004,1.7285262,7,8,0,7,,18,33,49,64.0,83.0,99.0,-1.0,"(7, 7)"
81,2.0040936,4.000161,4.0004908,3.0005176,4.0005328,1.0011502,0.0011598,0.001078,1,8,0,8,,1,2,3,4.0,5.0,6.0,7.0,"(8, 1)"
82,2.0040594,5.000161,6.000491200000001,5.000554200000001,6.000489,0.3897081999999999,0.0013412,0.0012184,1,8,0,8,,1,2,3,8.0,9.0,10.0,11.0,"(8, 1)"
83,3.0047136,8.0001618,10.0005856,7.0007042,10.000706,0.5014318,1.2512880000000002,0.001179,1,8,0,8,,1,5,6,9.0,10.0,12.0,13.0,"(8, 1)"
84,5.0062918,5.000165399999999,8.000823,7.0010466,8.0010176,1.0021783999999998,3.0021674000000003,1.0019886,1,8,0,8,,2,4,6,8.0,10.0,12.0,14.0,"(8, 1)"
