X_N,A_N,Y_N,CFG,Compiler,FLOPSs,time,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_RETIRED:ALL,UOPS_ISSUED:ALL,UOPS_EXECUTED:THREAD,UOPS_RETIRED:STALL_CYCLES,UOPS_ISSUED:STALL_CYCLES,UOPS_EXECUTED:STALL_CYCLES,,A_IDX_A,A_IDX_B,A_IDX_C,A_IDX_D,DiscardedPapiValues,X_IDX_A,X_IDX_B,X_IDX_C,X_IDX_D,Y_IDX_A,Y_IDX_B,Y_IDX_C,Y_IDX_D
4,4,4, -DX_IDX_A=0 -DX_IDX_B=1 -DX_IDX_C=2 -DX_IDX_D=3 -DA_IDX_A=0 -DA_IDX_B=1 -DA_IDX_C=2 -DA_IDX_D=3 -DY_IDX_A=0 -DY_IDX_B=1 -DY_IDX_C=2 -DY_IDX_D=3,gcc,-1.0,-1.0,3.0042494,6.000160200000001,7.0006276,5.0007302,7.0007406,1.0018796,0.0016854,0.0015746,1.0,0,1,2,3,0.0,0,1,2,3,0,1,2,3
4,4,4, -DX_IDX_A=0 -DX_IDX_B=1 -DX_IDX_C=2 -DX_IDX_D=3 -DA_IDX_A=0 -DA_IDX_B=1 -DA_IDX_C=2 -DA_IDX_D=3 -DY_IDX_A=0 -DY_IDX_B=0 -DY_IDX_C=0 -DY_IDX_D=0,gcc,-1.0,-1.0,9.006034399999999,11.000163,13.001188000000003,10.0021292,12.0020374,5.002917999999999,6.5026566,1.8227408,1.0,0,1,2,3,0.0,0,1,2,3,0,0,0,0
