ORIG_y,ORIG_A,ORIG_x,CFG,Compiler,FLOPSs,time,CPU_CLK_THREAD_UNHALTED:THREAD_P,UOPS_EXECUTED:STALL_CYCLES,INST_RETIRED:ANY_P,UOPS_ISSUED:ALL,UOPS_RETIRED:ALL,DiscardedPapiValues,DiscardedTimeValues,vfmadd132ss_MM0_MM2_MM1,vfmadd213ss_MM2_MM1_GP_GP_GP,vmovaps_MM2_MM0,vmovss_GP_GP_GP_MM0,vmovss_MM0_GP_GP_GP,vmovss_MM1_GP_GP_GP,vfmadd132ps_MM0_MM1_MM2,vfmadd231ps_MM1_MM2_MM0,vmovhps_GP_GP_GP_MM0,vmovhps_MM0_MM0_GP_GP_GP,vmovhps_MM1_MM1_GP_GP_GP,vmovhps_MM2_MM0_GP_GP_GP,vmovlps_GP_GP_GP_MM0,vmovq_MM0_GP_GP_GP,vmovq_MM1_GP_GP_GP,mov_GP_GP_GP_GP,vaddss_MM1_MM9_MM9,vaddss_MM2_MM0_MM0,vaddss_MM5_MM3_MM3,vaddss_MM8_MM6_MM6,vfmadd213ss_MM1_MM1_GP_GP_GP,vfmadd213ss_MM5_MM4_GP_GP_GP,vfmadd213ss_MM8_MM7_GP_GP_GP,vmovss_GP_GP_GP_MM1,vmovss_GP_GP_GP_MM2,vmovss_GP_GP_GP_MM5,vmovss_GP_GP_GP_MM8,vmovss_MM3_GP_GP_GP,vmovss_MM4_GP_GP_GP,vmovss_MM6_GP_GP_GP,vmovss_MM7_GP_GP_GP,vmovss_MM9_GP_GP_GP,vfmadd231ps_MM8_MM6_MM7,vmovhlps_MM9_MM8_MM8,vmovhps_MM6_MM3_GP_GP_GP,vmovhps_MM7_MM1_GP_GP_GP,vmovhps_MM8_MM5_GP_GP_GP,vmovlps_GP_GP_GP_MM8,vmovlps_GP_GP_GP_MM9,vmovsd_MM1_GP_GP_GP,vmovsd_MM3_GP_GP_GP,vmovsd_MM5_GP_GP_GP
0,0,0, -mfma -mavx2 AUTOVEC=true ,gcc,0.0,6.7122e-09,13.9856716,1.2141553999999999,27.0001668,26.0027356,34.0018004,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0, AUTOVEC=false -mfma -mavx2 -DSIMD_CODE -DVERSION_HALF_VECTOR -DLOAD_IN_HALVES ,gcc,0.0,7.2144e-09,15.063834,4.9409114,13.0001712,12.0029936,17.001894399999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0, -mfma -mavx2 AUTOVEC=true ,icc,0.0,6.6701999999999996e-09,14.532237600000002,2.3248342,20.000163,19.0032762,31.0023932,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0, AUTOVEC=false -mfma -mavx2 -DSIMD_CODE -DVERSION_HALF_VECTOR -DLOAD_IN_HALVES ,icc,0.0,7.225e-09,15.0675106,5.748931399999999,14.0001632,13.003593599999999,18.002492000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
