ORIG_y,ORIG_A,ORIG_x,CFG,Compiler,FLOPSs,time,CPU_CLK_THREAD_UNHALTED:THREAD_P,UOPS_EXECUTED:STALL_CYCLES,INST_RETIRED:ANY_P,UOPS_ISSUED:ALL,UOPS_RETIRED:ALL,DiscardedPapiValues,DiscardedTimeValues,vfmadd132ss_MM0_MM1_GP_GP_GP,vfmadd132ss_MM0_MM3_GP_GP_GP,vfmadd132ss_MM0_MM5_GP_GP_GP,vfmadd132ss_MM0_MM7_GP_GP_GP,vfmadd231ss_MM0_MM1_GP_GP_GP,vfmadd231ss_MM0_MM2_GP_GP_GP,vfmadd231ss_MM0_MM4_GP_GP_GP,vfmadd231ss_MM0_MM6_GP_GP_GP,vmovss_GP_GP_GP_MM0,vmovss_MM0_GP_GP_GP,vmovss_MM1_GP_GP_GP,vmovss_MM2_GP_GP_GP,vmovss_MM3_GP_GP_GP,vmovss_MM4_GP_GP_GP,vmovss_MM5_GP_GP_GP,vmovss_MM6_GP_GP_GP,vmovss_MM7_GP_GP_GP,vfmadd132ps_MM0_MM1_MM2,vfmadd231ps_MM1_MM2_MM0,vmovhps_GP_GP_GP_MM0,vmovhps_MM0_MM0_GP_GP_GP,vmovhps_MM1_MM1_GP_GP_GP,vmovhps_MM2_MM0_GP_GP_GP,vmovlps_GP_GP_GP_MM0,vmovq_MM0_GP_GP_GP,vmovq_MM1_GP_GP_GP,vaddss_MM1_MM9_MM9,vaddss_MM2_MM0_MM0,vaddss_MM5_MM3_MM3,vaddss_MM8_MM6_MM6,vfmadd213ss_MM1_MM1_GP_GP_GP,vfmadd213ss_MM2_MM1_GP_GP_GP,vfmadd213ss_MM5_MM4_GP_GP_GP,vfmadd213ss_MM8_MM7_GP_GP_GP,vmovss_GP_GP_GP_MM1,vmovss_GP_GP_GP_MM2,vmovss_GP_GP_GP_MM5,vmovss_GP_GP_GP_MM8,vmovss_MM9_GP_GP_GP,vfmadd231ps_MM8_MM6_MM7,vmovhlps_MM9_MM8_MM8,vmovhps_MM6_MM3_GP_GP_GP,vmovhps_MM7_MM1_GP_GP_GP,vmovhps_MM8_MM5_GP_GP_GP,vmovlps_GP_GP_GP_MM8,vmovlps_GP_GP_GP_MM9,vmovsd_MM1_GP_GP_GP,vmovsd_MM3_GP_GP_GP,vmovsd_MM5_GP_GP_GP
0,0,0, -mfma -mavx2 AUTOVEC=true ,gcc,0.0,1.22192e-08,25.4950272,5.6201832,34.000173600000004,33.0043998,49.003107799999995,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0, AUTOVEC=false -mfma -mavx2 -DSIMD_CODE -DVERSION_HALF_VECTOR -DLOAD_IN_HALVES ,gcc,0.0,7.2142e-09,15.0637158,4.6044792,16.0001684,15.0031236,20.001937399999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0, -mfma -mavx2 AUTOVEC=true ,icc,0.0,6.6725999999999995e-09,14.4840342,2.0341335999999997,23.000161,22.0033684,34.0023914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0, AUTOVEC=false -mfma -mavx2 -DSIMD_CODE -DVERSION_HALF_VECTOR -DLOAD_IN_HALVES ,icc,0.0,7.219e-09,15.0563264,4.865231199999999,17.000163,16.004217200000003,21.0024026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
