MARTA_NUM_THREADS,STRIDE,ADD_VERSION,BANDWIDTH,BANDWIDTH_cat
1,1,0,13.912197641428412,BANDWIDTH-00.425-32.749
1,2,0,13.916084032921397,BANDWIDTH-00.425-32.749
1,4,0,13.83744480996785,BANDWIDTH-00.425-32.749
1,8,0,13.833863841165696,BANDWIDTH-00.425-32.749
1,16,0,13.83899386229236,BANDWIDTH-00.425-32.749
1,32,0,13.835236877625425,BANDWIDTH-00.425-32.749
1,64,0,13.838315316572372,BANDWIDTH-00.425-32.749
1,128,0,13.836350717680002,BANDWIDTH-00.425-32.749
1,256,0,13.844510760750888,BANDWIDTH-00.425-32.749
1,512,0,13.84521349081121,BANDWIDTH-00.425-32.749
1,1024,0,13.841531524423363,BANDWIDTH-00.425-32.749
1,2048,0,13.922567554951607,BANDWIDTH-00.425-32.749
1,4096,0,13.91227912941492,BANDWIDTH-00.425-32.749
1,8192,0,13.910298509274726,BANDWIDTH-00.425-32.749
1,16384,0,13.913507516227732,BANDWIDTH-00.425-32.749
1,1,11,13.756264001566992,BANDWIDTH-00.425-32.749
1,2,11,10.08837774957169,BANDWIDTH-00.425-32.749
1,4,11,8.903147197346824,BANDWIDTH-00.425-32.749
1,8,11,9.13944989521166,BANDWIDTH-00.425-32.749
1,16,11,10.104665497962902,BANDWIDTH-00.425-32.749
1,32,11,9.691037704212569,BANDWIDTH-00.425-32.749
1,64,11,7.132812888243503,BANDWIDTH-00.425-32.749
1,128,11,3.827674247351108,BANDWIDTH-00.425-32.749
1,256,11,3.844814552873927,BANDWIDTH-00.425-32.749
1,512,11,3.8898222227317234,BANDWIDTH-00.425-32.749
1,1024,11,3.9639654028741154,BANDWIDTH-00.425-32.749
1,2048,11,4.055062448374271,BANDWIDTH-00.425-32.749
1,4096,11,4.064741181341021,BANDWIDTH-00.425-32.749
1,8192,11,4.10385726578285,BANDWIDTH-00.425-32.749
1,16384,11,4.202480033302091,BANDWIDTH-00.425-32.749
1,1,12,13.687413781459847,BANDWIDTH-00.425-32.749
1,2,12,8.69916258085883,BANDWIDTH-00.425-32.749
1,4,12,7.432681928716858,BANDWIDTH-00.425-32.749
1,8,12,8.325055779544511,BANDWIDTH-00.425-32.749
1,16,12,8.512813838722806,BANDWIDTH-00.425-32.749
1,32,12,7.949909440767761,BANDWIDTH-00.425-32.749
1,64,12,6.331826197412314,BANDWIDTH-00.425-32.749
1,128,12,3.7981852672893046,BANDWIDTH-00.425-32.749
1,256,12,3.793644587289736,BANDWIDTH-00.425-32.749
1,512,12,3.783380327986389,BANDWIDTH-00.425-32.749
1,1024,12,3.801465359313221,BANDWIDTH-00.425-32.749
1,2048,12,3.834718977612999,BANDWIDTH-00.425-32.749
1,4096,12,3.890031773551644,BANDWIDTH-00.425-32.749
1,8192,12,4.005178554764016,BANDWIDTH-00.425-32.749
1,16384,12,4.102195507811612,BANDWIDTH-00.425-32.749
1,1,13,13.685397434756617,BANDWIDTH-00.425-32.749
1,2,13,7.346060360783569,BANDWIDTH-00.425-32.749
1,4,13,6.477116372124696,BANDWIDTH-00.425-32.749
1,8,13,6.996585412981325,BANDWIDTH-00.425-32.749
1,16,13,6.826475975344423,BANDWIDTH-00.425-32.749
1,32,13,5.847660833830775,BANDWIDTH-00.425-32.749
1,64,13,3.699953861920712,BANDWIDTH-00.425-32.749
1,128,13,1.940801351210212,BANDWIDTH-00.425-32.749
1,256,13,1.965831674797181,BANDWIDTH-00.425-32.749
1,512,13,1.992643342391256,BANDWIDTH-00.425-32.749
1,1024,13,2.026028296742347,BANDWIDTH-00.425-32.749
1,2048,13,2.062193513480878,BANDWIDTH-00.425-32.749
1,4096,13,2.2130673639800142,BANDWIDTH-00.425-32.749
1,8192,13,2.45997359024029,BANDWIDTH-00.425-32.749
1,16384,13,2.818858759219504,BANDWIDTH-00.425-32.749
1,1,14,13.670481828838026,BANDWIDTH-00.425-32.749
1,2,14,9.996805152433213,BANDWIDTH-00.425-32.749
1,4,14,8.760664921920862,BANDWIDTH-00.425-32.749
1,8,14,8.710670883805443,BANDWIDTH-00.425-32.749
1,16,14,8.77043897994056,BANDWIDTH-00.425-32.749
1,32,14,6.2422194721217625,BANDWIDTH-00.425-32.749
1,64,14,3.577588625202414,BANDWIDTH-00.425-32.749
1,128,14,1.8130275122929569,BANDWIDTH-00.425-32.749
1,256,14,1.82267828547156,BANDWIDTH-00.425-32.749
1,512,14,1.857793286350037,BANDWIDTH-00.425-32.749
1,1024,14,1.9149323735837125,BANDWIDTH-00.425-32.749
1,2048,14,2.071788783528379,BANDWIDTH-00.425-32.749
1,4096,14,2.220142183443374,BANDWIDTH-00.425-32.749
1,8192,14,2.359848101739205,BANDWIDTH-00.425-32.749
1,16384,14,2.7498951060056,BANDWIDTH-00.425-32.749
1,1,21,4.476923615989968,BANDWIDTH-00.425-32.749
1,2,21,4.469802115826516,BANDWIDTH-00.425-32.749
1,4,21,4.471568719974084,BANDWIDTH-00.425-32.749
1,8,21,4.469506171640091,BANDWIDTH-00.425-32.749
1,16,21,4.482646595668978,BANDWIDTH-00.425-32.749
1,32,21,4.474212131320195,BANDWIDTH-00.425-32.749
1,64,21,4.481533198683556,BANDWIDTH-00.425-32.749
1,128,21,4.472023727566954,BANDWIDTH-00.425-32.749
1,256,21,4.474976430701733,BANDWIDTH-00.425-32.749
1,512,21,4.470513997745297,BANDWIDTH-00.425-32.749
1,1024,21,4.473723398853108,BANDWIDTH-00.425-32.749
1,2048,21,4.46909556261032,BANDWIDTH-00.425-32.749
1,4096,21,4.464889692304941,BANDWIDTH-00.425-32.749
1,8192,21,4.473155120660787,BANDWIDTH-00.425-32.749
1,16384,21,4.476584399968044,BANDWIDTH-00.425-32.749
1,1,22,4.055363232477511,BANDWIDTH-00.425-32.749
1,2,22,4.052991272423137,BANDWIDTH-00.425-32.749
1,4,22,4.0532444580835385,BANDWIDTH-00.425-32.749
1,8,22,4.0541886267513325,BANDWIDTH-00.425-32.749
1,16,22,4.0549473664018905,BANDWIDTH-00.425-32.749
1,32,22,4.0542571672278855,BANDWIDTH-00.425-32.749
1,64,22,4.053689241524361,BANDWIDTH-00.425-32.749
1,128,22,4.054006576148702,BANDWIDTH-00.425-32.749
1,256,22,4.05177808335375,BANDWIDTH-00.425-32.749
1,512,22,4.0548019189791225,BANDWIDTH-00.425-32.749
1,1024,22,4.0539483451771465,BANDWIDTH-00.425-32.749
1,2048,22,4.053666621085361,BANDWIDTH-00.425-32.749
1,4096,22,4.054100612204074,BANDWIDTH-00.425-32.749
1,8192,22,4.050971583044599,BANDWIDTH-00.425-32.749
1,16384,22,4.0521368683616,BANDWIDTH-00.425-32.749
1,1,23,3.939657771119149,BANDWIDTH-00.425-32.749
1,2,23,3.9394078582879337,BANDWIDTH-00.425-32.749
1,4,23,3.939891450678586,BANDWIDTH-00.425-32.749
1,8,23,3.938505455371359,BANDWIDTH-00.425-32.749
1,16,23,3.9390565362330383,BANDWIDTH-00.425-32.749
1,32,23,3.9396529986911584,BANDWIDTH-00.425-32.749
1,64,23,3.939674878532952,BANDWIDTH-00.425-32.749
1,128,23,3.938986991292796,BANDWIDTH-00.425-32.749
1,256,23,3.939934848740669,BANDWIDTH-00.425-32.749
1,512,23,3.939450915332439,BANDWIDTH-00.425-32.749
1,1024,23,3.940329146677308,BANDWIDTH-00.425-32.749
1,2048,23,3.938846440942091,BANDWIDTH-00.425-32.749
1,4096,23,3.941530115375191,BANDWIDTH-00.425-32.749
1,8192,23,3.939664782938168,BANDWIDTH-00.425-32.749
1,16384,23,3.937785774486783,BANDWIDTH-00.425-32.749
1,1,24,9.94590692700095,BANDWIDTH-00.425-32.749
1,2,24,9.947703238876398,BANDWIDTH-00.425-32.749
