MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,icc,41272.9,11707.0,3794.15,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,icc,44068.9,10587.0,1882.2,-1,0.0,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,icc,89636.36842105263,22529.0,7022.526315789473,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,icc,97662.21052631579,21586.0,5797.95,-1,0.016666666666666666,1.0,0.0,359.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,icc,319277.2105263158,92730.0,23359.6,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,icc,344136.6842105263,79260.15,19948.25,-1,0.016666666666666666,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,icc,444199.6842105263,142197.1,45701.95,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,icc,404466.0,108042.0,20754.736842105263,-1,0.03333333333333333,1.0,0.0,2755.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,icc,395176.2631578947,108349.15,50570.9,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,icc,455111.35,108550.1,28964.4,-1,0.0,1.0,0.0,3051.0
test-codes/cep1.spf.c, AUTOVEC=true ,icc,77371.6,22212.0,4920.210526315789,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,icc,70055.31578947368,18509.0,3135.0526315789475,-1,0.05,1.0,0.0,486.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,icc,139990.57894736843,38773.0,20053.78947368421,true,0.05,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,icc,176770.2,41184.0,14810.578947368422,-1,0.016666666666666666,1.0,0.0,887.0
test-codes/deter8.spf.c, AUTOVEC=true ,icc,176750.63157894736,48045.0,6734.894736842105,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,icc,235144.73684210525,60575.0,8310.105263157895,-1,0.03333333333333333,1.0,0.0,1007.0
test-codes/l9.spf.c, AUTOVEC=true ,icc,28482.78947368421,7834.0,633.8947368421053,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,icc,41484.31578947369,10001.0,1427.8947368421052,-1,0.03333333333333333,1.0,0.0,109.0
test-codes/pde900.spf.c, AUTOVEC=true ,icc,16640.5,2271.0,6916.0526315789475,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/pde900.spf.c, MACVETH ,icc,16933.55,2271.0,6901.4,-1,0.0,1.0,0.0,0.0
test-codes/rajat13.spf.c, AUTOVEC=true ,icc,237525.68421052632,55596.0,40825.78947368421,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,icc,340505.7368421053,69552.0,45316.95,-1,0.03333333333333333,1.0,0.0,517.0
test-codes/power.spf.c, AUTOVEC=true ,icc,153970.42105263157,45143.0,6112.35,true,0.05,-1.0,-1.0,-1.0
test-codes/power.spf.c, MACVETH ,icc,165796.73684210525,42267.0,4604.6,-1,0.016666666666666666,1.0,0.0,980.0
