MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,gcc,9259.315789473685,2082.0,1155.2,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,gcc,10315.4,2124.0,1143.3157894736842,-1,0.016666666666666666,1.0,0.0,41.0
test-codes/football.spf.c, AUTOVEC=true ,gcc,10718.78947368421,2813.0,321.6,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,gcc,16780.894736842107,3587.0,757.6315789473684,-1,0.03333333333333333,1.0,0.0,86.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,gcc,26983.9,5725.0,3874.55,true,0.0,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,gcc,28392.315789473683,5781.0,3558.65,-1,0.016666666666666666,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,gcc,76115.31578947368,20319.0,6666.315789473684,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,gcc,94004.65,24024.0,6669.421052631579,-1,0.016666666666666666,1.0,0.0,488.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,gcc,39350.57894736842,11268.0,1137.421052631579,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,gcc,45968.05,11926.0,1559.4,-1,0.0,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,gcc,33894.36842105263,8153.0,2589.842105263158,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,gcc,42554.55,10551.0,1986.45,-1,0.0,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,gcc,88825.4,20784.0,6364.631578947368,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,gcc,94793.1,21342.0,5553.0526315789475,-1,0.016666666666666666,1.0,0.0,359.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,gcc,252888.47368421053,68971.0,8539.8,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,gcc,319907.15789473685,79314.0,14033.684210526315,-1,0.05,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,gcc,272978.0,76767.0,12164.65,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,gcc,375021.0,98707.0,19652.35,-1,0.016666666666666666,1.0,0.0,2755.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,gcc,319863.2631578947,81765.0,13735.0,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,gcc,433267.36842105264,107896.0,23376.75,-1,0.016666666666666666,1.0,0.0,3051.0
test-codes/cep1.spf.c, AUTOVEC=true ,gcc,66686.8947368421,17432.0,2211.2105263157896,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,gcc,70745.36842105263,19484.0,3242.35,-1,0.03333333333333333,1.0,0.0,486.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,gcc,138647.84210526315,35779.0,20297.526315789473,true,0.05,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,gcc,160409.4,38743.0,17375.894736842107,-1,0.03333333333333333,1.0,0.0,887.0
test-codes/deter8.spf.c, AUTOVEC=true ,gcc,165410.57894736843,41894.0,5613.894736842105,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,gcc,218892.26315789475,56850.0,11449.21052631579,-1,0.03333333333333333,1.0,0.0,1007.0
test-codes/l9.spf.c, AUTOVEC=true ,gcc,32337.05,9659.0,792.7894736842105,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,gcc,38717.85,11568.0,1467.3,-1,0.0,1.0,0.0,109.0
test-codes/pde900.spf.c, AUTOVEC=true ,gcc,16227.578947368422,2249.0,6819.4,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/pde900.spf.c, MACVETH ,gcc,16272.3,2249.0,6814.105263157895,-1,0.016666666666666666,1.0,0.0,0.0
test-codes/rajat13.spf.c, AUTOVEC=true ,gcc,360059.84210526315,91620.1,81281.1052631579,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,gcc,390021.05,92296.3,76856.36842105263,-1,0.016666666666666666,1.0,0.0,517.0
test-codes/power.spf.c, AUTOVEC=true ,gcc,122843.75,32850.0,1940.75,true,0.0,-1.0,-1.0,-1.0
