MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/l9.spf.c, AUTOVEC=true ,gcc,31624.57894736842,9659.0,665.8421052631579,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,gcc,37734.5,11571.0,1392.3684210526317,-1,0.016666666666666666,1.0,0.0,109.0
test-codes/l9.spf.c, AUTOVEC=true ,icc,27777.21052631579,7834.0,611.421052631579,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,icc,41097.57894736842,10012.0,1526.4736842105262,-1,0.03333333333333333,1.0,0.0,109.0
