MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/N_biocarta.spf.c, MACVETH ,icc,43390.26315789474,11122.0,840.45,-1,0.016666666666666666,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,icc,41397.26315789474,11747.0,3369.15,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,icc,43620.68421052631,10823.0,2156.1052631578946,-1,0.03333333333333333,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,icc,90574.52631578948,22566.0,6628.578947368421,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,icc,96816.45,21249.0,6264.3,-1,0.0,1.0,0.0,359.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,icc,313915.94736842107,92595.0,21893.65,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,icc,343441.63157894736,78884.0,20627.6,-1,0.016666666666666666,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,icc,444058.05263157893,141746.1,47184.65,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,icc,427912.3157894737,113197.0,30148.7,-1,0.016666666666666666,1.0,0.0,2755.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,icc,403381.1052631579,108678.0,48199.4,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,icc,450205.63157894736,107886.0,35369.85,-1,0.03333333333333333,1.0,0.0,3051.0
test-codes/cep1.spf.c, AUTOVEC=true ,icc,75327.63157894737,22225.0,4601.473684210527,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,icc,69428.73684210527,19456.0,2832.2631578947367,-1,0.03333333333333333,1.0,0.0,486.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,icc,143721.05,39679.0,17533.4,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,icc,160373.15789473685,37593.0,14387.368421052632,-1,0.03333333333333333,1.0,0.0,887.0
test-codes/deter8.spf.c, AUTOVEC=true ,icc,178893.8,47477.0,6670.0,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,icc,235452.47368421053,60527.0,9331.5,-1,0.03333333333333333,1.0,0.0,1007.0
test-codes/l9.spf.c, AUTOVEC=true ,icc,28574.842105263157,7835.0,603.7368421052631,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,icc,30178.157894736843,8396.0,573.8,-1,0.016666666666666666,1.0,0.0,109.0
test-codes/pde900.spf.c, AUTOVEC=true ,icc,18938.105263157893,2877.0,5959.736842105263,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/pde900.spf.c, MACVETH ,icc,16944.63157894737,2271.0,6891.7,-1,0.016666666666666666,1.0,0.0,0.0
test-codes/rajat13.spf.c, AUTOVEC=true ,icc,238121.1052631579,59899.0,39496.1,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,icc,270930.55,53850.0,39565.2,-1,0.016666666666666666,1.0,0.0,517.0
test-codes/power.spf.c, AUTOVEC=true ,icc,147994.68421052632,45124.0,5034.0,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/power.spf.c, MACVETH ,icc,169045.47368421053,42224.0,4809.263157894737,-1,0.05,1.0,0.0,980.0
