MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,icc,19255.0,3611.0,3813.4,true,0.0,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,icc,22811.0,4056.0,3341.75,-1,0.016666666666666666,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,icc,81418.78947368421,23483.0,6798.526315789473,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,icc,101099.68421052632,25296.0,4049.75,-1,0.016666666666666666,1.0,0.0,487.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,icc,38282.52631578947,11152.0,862.25,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,icc,50092.84210526316,12022.0,1145.55,-1,0.016666666666666666,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,icc,40863.68421052631,11707.0,3807.25,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,icc,44045.2,10685.0,1841.578947368421,-1,0.016666666666666666,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,icc,89198.8947368421,22529.0,6897.684210526316,true,0.05,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,icc,97601.21052631579,21593.0,5703.1578947368425,-1,0.03333333333333333,1.0,0.0,358.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,icc,313705.84210526315,92730.0,21653.36842105263,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,icc,344681.8947368421,79556.0,19313.42105263158,-1,0.05,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,icc,441819.8947368421,142197.2,44675.3,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,icc,408270.5263157895,108403.0,23613.4,-1,0.016666666666666666,1.0,0.0,2755.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,icc,400060.5789473684,108349.0,49983.78947368421,true,0.05,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,icc,451674.8947368421,109036.0,29449.45,-1,0.03333333333333333,1.0,0.0,3050.0
test-codes/cep1.spf.c, AUTOVEC=true ,icc,75672.84210526316,22212.0,4919.95,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,icc,72136.5,18502.0,3364.55,-1,0.0,1.0,0.0,485.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,icc,143673.84210526315,38773.0,20006.684210526317,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,icc,173799.15789473685,41576.0,14864.684210526315,-1,0.03333333333333333,1.0,0.0,887.0
test-codes/deter8.spf.c, AUTOVEC=true ,icc,178418.52631578947,48045.0,6560.684210526316,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,icc,233133.84210526315,60575.0,8336.052631578947,-1,0.05,1.0,0.0,1007.0
test-codes/l9.spf.c, AUTOVEC=true ,icc,28765.5,7834.0,669.0526315789474,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,icc,39640.4,10004.0,1439.7368421052631,-1,0.016666666666666666,1.0,0.0,109.0
test-codes/pde900.spf.c, AUTOVEC=true ,icc,16411.05,2271.0,6895.684210526316,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/pde900.spf.c, MACVETH ,icc,16545.894736842107,2271.0,6898.35,-1,0.016666666666666666,1.0,0.0,0.0
test-codes/rajat13.spf.c, AUTOVEC=true ,icc,238293.7,55596.0,40829.42105263158,true,0.05,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,icc,338280.05263157893,69646.25,47242.35,-1,0.016666666666666666,1.0,0.0,517.0
test-codes/power.spf.c, AUTOVEC=true ,icc,154532.7894736842,45143.0,5694.7,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/power.spf.c, MACVETH ,icc,169021.0,42325.0,4828.3,-1,0.05,1.0,0.0,980.0
