MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,gcc,9389.95,2082.0,1154.7,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,gcc,10194.0,2148.0,1140.2,-1,0.0,1.0,0.0,41.0
test-codes/football.spf.c, AUTOVEC=true ,gcc,10973.052631578947,2813.0,322.2105263157895,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,gcc,15450.6,3765.0,722.7894736842105,-1,0.016666666666666666,1.0,0.0,86.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,gcc,26843.3,5725.0,3851.25,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,gcc,27663.57894736842,5817.0,3643.95,-1,0.016666666666666666,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,gcc,76541.45,20319.0,6657.4,true,0.0,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,gcc,93691.85,24602.0,6748.368421052632,-1,0.03333333333333333,1.0,0.0,487.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,gcc,40027.57894736842,11268.0,1347.25,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,gcc,44207.15789473684,12137.1,1373.157894736842,-1,0.03333333333333333,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,gcc,33822.3,8153.1,2590.0,true,0.0,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,gcc,42826.84210526316,10948.0,2030.85,-1,0.016666666666666666,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,gcc,88747.36842105263,20784.0,6299.526315789473,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,gcc,96416.6,21746.0,5741.263157894737,-1,0.016666666666666666,1.0,0.0,358.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,gcc,252403.68421052632,68971.1,8849.8,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,gcc,324434.15789473685,84330.0,16631.7,-1,0.03333333333333333,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,gcc,271513.7368421053,76767.0,12114.95,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,gcc,369357.2105263158,103301.2,21886.55,-1,0.016666666666666666,1.0,0.0,2755.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,gcc,319425.4736842105,81765.0,13260.421052631578,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,gcc,431842.4736842105,113062.0,24994.894736842107,-1,0.03333333333333333,1.0,0.0,3050.0
test-codes/cep1.spf.c, AUTOVEC=true ,gcc,67198.6,17432.0,2124.0,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,gcc,71355.26315789473,19511.0,3532.6315789473683,-1,0.03333333333333333,1.0,0.0,485.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,gcc,138262.42105263157,35779.0,20455.0,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,gcc,159875.1052631579,40470.0,17935.21052631579,-1,0.03333333333333333,1.0,0.0,887.0
test-codes/deter8.spf.c, AUTOVEC=true ,gcc,163665.84210526315,41894.0,5724.210526315789,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,gcc,222408.42105263157,61024.0,11444.578947368422,-1,0.03333333333333333,1.0,0.0,1007.0
test-codes/l9.spf.c, AUTOVEC=true ,gcc,32667.45,9659.0,840.95,true,0.0,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,gcc,38997.4,11571.0,1445.421052631579,-1,0.016666666666666666,1.0,0.0,109.0
test-codes/pde900.spf.c, AUTOVEC=true ,gcc,16296.157894736842,2249.0,6811.8,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/pde900.spf.c, MACVETH ,gcc,16121.421052631578,2249.0,6814.25,-1,0.016666666666666666,1.0,0.0,0.0
test-codes/rajat13.spf.c, AUTOVEC=true ,gcc,363723.95,91620.0,81226.55,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,gcc,391857.95,92713.1,77067.5,-1,0.0,1.0,0.0,517.0
test-codes/power.spf.c, AUTOVEC=true ,gcc,123780.8,32850.0,1502.2631578947369,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/power.spf.c, MACVETH ,gcc,150325.7894736842,42419.0,4284.05,-1,0.016666666666666666,1.0,0.0,980.0
