MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,icc,8821.631578947368,1996.0,1291.95,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,icc,11531.35,2268.0,1187.5,-1,0.0,1.0,0.0,34.0
test-codes/football.spf.c, AUTOVEC=true ,icc,17330.947368421053,4624.0,1317.25,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,icc,19156.78947368421,4338.0,802.65,-1,0.016666666666666666,1.0,0.0,110.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,icc,19748.42105263158,3611.0,3804.75,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,icc,22685.42105263158,4197.0,3392.3,-1,0.016666666666666666,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,icc,84072.75,23483.0,6821.789473684211,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,icc,104122.52631578948,27076.0,3641.2105263157896,-1,0.03333333333333333,1.0,0.0,420.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,icc,38541.68421052631,11152.0,840.1052631578947,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,icc,51997.21052631579,12817.0,1217.2105263157894,-1,0.03333333333333333,1.0,0.0,216.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,icc,41669.89473684211,11707.0,3819.1,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,icc,46483.84210526316,12243.0,2188.85,-1,0.016666666666666666,1.0,0.0,333.0
test-codes/Pd.spf.c, AUTOVEC=true ,icc,89039.15789473684,22529.0,6921.894736842105,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,icc,102764.8947368421,23029.0,4750.0,-1,0.03333333333333333,1.0,0.0,396.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,icc,313186.63157894736,92730.0,22425.8,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,icc,362658.6842105263,92986.1,22235.75,-1,0.016666666666666666,1.0,0.0,1750.0
test-codes/G3.spf.c, AUTOVEC=true ,icc,438666.84210526315,142197.0,45105.05,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,icc,450774.2631578947,133026.1,29089.05,-1,0.016666666666666666,1.0,0.0,3878.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,icc,397880.5263157895,108349.15,51414.55,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,icc,503690.6842105263,133435.0,36025.05,-1,0.03333333333333333,1.0,0.0,3164.0
test-codes/cep1.spf.c, AUTOVEC=true ,icc,75236.31578947368,22212.0,4883.894736842105,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,icc,73064.52631578948,18875.0,3878.1052631578946,-1,0.03333333333333333,1.0,0.0,564.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,icc,138727.31578947368,38773.0,20001.5,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,icc,186163.31578947368,46576.0,16313.263157894737,-1,0.03333333333333333,1.0,0.0,880.0
test-codes/deter8.spf.c, AUTOVEC=true ,icc,175062.84210526315,48045.0,6530.894736842105,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,icc,248383.2105263158,69541.0,11417.15,-1,0.03333333333333333,1.0,0.0,1006.0
test-codes/l9.spf.c, AUTOVEC=true ,icc,27880.894736842107,7834.0,654.0526315789474,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,icc,39309.55,9349.0,988.55,-1,0.0,1.0,0.0,82.0
test-codes/pde900.spf.c, AUTOVEC=true ,icc,16855.35,2271.0,6906.75,true,0.0,-1.0,-1.0,-1.0
test-codes/pde900.spf.c, MACVETH ,icc,17035.0,2271.0,6892.8,-1,0.016666666666666666,1.0,0.0,0.0
test-codes/rajat13.spf.c, AUTOVEC=true ,icc,229995.8947368421,55596.0,41177.47368421053,true,0.05,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,icc,344984.7,71085.0,46175.75,-1,0.0,1.0,0.0,590.0
test-codes/power.spf.c, AUTOVEC=true ,icc,150167.1052631579,45143.0,5806.15,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/power.spf.c, MACVETH ,icc,173992.52631578947,46992.0,5375.789473684211,-1,0.05,1.0,0.0,846.0
