MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,DiscardedTscValues,tsc,vaddss_MEM_XMM_XMM,vaddss_XMM_XMM_XMM,vextractf128_IMM_YMM_XMM,vextractps_IMM_XMM_MEM,vfmadd132ps_MEM_XMM_XMM,vfmadd132ps_MEM_YMM_YMM,vfmadd132ss_MEM_XMM_XMM,vfmadd132ss_XMM_XMM_XMM,vfmadd213ps_MEM_YMM_YMM,vfmadd213ss_MEM_XMM_XMM,vfmadd231ps_MEM_XMM_XMM,vfmadd231ps_MEM_YMM_YMM,vfmadd231ss_MEM_XMM_XMM,vfmadd231ss_XMM_XMM_XMM,vinsertps_IMM_MEM_XMM_XMM,vmovaps_XMM_XMM,vmovdqa_XMM_XMM,vmovlhps_XMM_XMM_XMM,vmovss_MEM_XMM,vmovss_XMM_MEM,vmovups_MEM_XMM,vmovups_MEM_YMM,vmovups_XMM_MEM,vmovups_YMM_MEM,vmulps_MEM_XMM_XMM,vmulps_MEM_YMM_YMM,vshufps_IMM_MEM_XMM_XMM,vshufps_IMM_XMM_XMM_XMM,vunpckhps_XMM_XMM_XMM,vzeroupper,MACVETH,Scop Skipped,Scop Vect.,kmovb_GPR_GPR,kxnorb_GPR_GPR_GPR,leaq_MEM_GPR,vaddps_YMM_YMM_YMM,vblendps_IMM_MEM_YMM_YMM,vblendps_IMM_YMM_YMM_YMM,vcmpeqps_XMM_XMM_XMM,vcmpps_IMM_YMM_YMM_YMM,vfmadd132ps_YMM_YMM_YMM,vfmadd231ps_YMM_YMM_YMM,vgatherdps_XMM_MEM_XMM,vgatherdps_YMM_MEM_YMM,vinsertf32x4_IMM_XMM_YMM_YMM,vinsertps_IMM_XMM_XMM_XMM,vmovaps_YMM_YMM,vmovdqa64_LABEL_XMM,vmovdqa64_LABEL_YMM,vmovhps_MEM_XMM_XMM,vmovhps_XMM_MEM,vmovlps_MEM_XMM_XMM,vmovlps_XMM_MEM,vmovq_MEM_XMM,vpermi2ps_MEM_XMM_XMM,vpermilps_IMM_YMM_YMM,vpermt2ps_MEM_XMM_XMM,vpinsrd_IMM_MEM_XMM_XMM,vscatterdps_XMM_MEM,vscatterdps_YMM_MEM,vshufps_IMM_YMM_YMM_YMM,vxorps_XMM_XMM_XMM,vpermilps_IMM_MEM_XMM,vunpcklps_XMM_XMM_XMM,vextractf128_IMM_YMM_MEM,vinsertf32x4_IMM_MEM_YMM_YMM,vmovss_XMM_XMM_XMM,andq_IMM_GPR,leave,movq_GPR_GPR,pushq_GPR,vbroadcastss_XMM_XMM,vfmadd213ps_MEM_XMM_XMM,vbroadcastss_MEM_YMM,vbroadcastss_XMM_YMM,vpxor_XMM_XMM_XMM,vextractf32x4_IMM_YMM_XMM,movq_GPR_MEM,movq_MEM_GPR,popq_GPR,vaddps_MEM_XMM_XMM,vinsertf128_IMM_XMM_YMM_YMM,vmovdqa64_YMM_YMM,vextractps_IMM_XMM_GPR,vmovd_GPR_XMM,addq_IMM_GPR,vmovaps_MEM_XMM,vmovaps_XMM_MEM
test-codes/circuit_2.spf.c, AUTOVEC=true ,gcc,136563.36842105264,35779.0,20396.526315789473,true,0.05,0.05,249184.73684210525,-1.0,-1.0,-1.0,30.0,14.0,95.0,322.0,-1.0,6.0,164.0,12.0,2.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,808.0,496.0,60.0,195.0,33.0,101.0,-1.0,-1.0,12.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,17.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,gcc,156115.26315789475,37905.0,16126.65,-1,0.03333333333333333,0.0,274550.4,40.0,32.0,164.0,-1.0,-1.0,-1.0,149.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.0,-1.0,-1.0,538.0,-1.0,-1.0,680.0,215.0,286.0,43.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,1.0,1.0,4.0,876.0,204.0,13.0,197.0,38.0,-1.0,45.0,1.0,1.0,199.0,50.0,175.0,249.0,409.0,261.0,250.0,220.0,246.0,317.0,69.0,328.0,82.0,2.0,-1.0,19.0,-1.0,297.0,145.0,72.0,19.0,8.0,-1.0,-1.0,13.0,27.0,2.0,1.0,-1.0,1.0,6.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,6.0,6.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, AUTOVEC=true ,gcc,160505.2105263158,41894.0,5733.0,true,0.03333333333333333,0.05,306320.4210526316,-1.0,12.0,1.0,-1.0,8.0,1.0,269.0,-1.0,1.0,185.0,-1.0,-1.0,889.0,-1.0,-1.0,3.0,-1.0,-1.0,952.0,246.0,17.0,4.0,8.0,2.0,1.0,1.0,-1.0,6.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,gcc,218640.57894736843,55591.0,11940.25,-1,0.05,0.05,371929.8947368421,4.0,16.0,94.0,-1.0,2.0,2.0,714.0,-1.0,-1.0,46.0,-1.0,-1.0,1577.0,-1.0,-1.0,369.0,-1.0,-1.0,2985.0,647.0,56.0,113.0,5.0,2.0,1.0,1.0,-1.0,6.0,7.0,1.0,1.0,0.0,1006.0,165.0,11.0,134.0,4.0,-1.0,171.0,1.0,1.0,213.0,18.0,84.0,284.0,296.0,164.0,283.0,82.0,283.0,430.0,79.0,462.0,82.0,2.0,-1.0,2.0,-1.0,32.0,77.0,99.0,2.0,4.0,-1.0,-1.0,39.0,3.0,-1.0,1.0,-1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0
test-codes/l9.spf.c, AUTOVEC=true ,gcc,32189.1,9659.0,742.3157894736842,true,0.016666666666666666,0.05,61695.26315789474,1.0,851.0,68.0,24.0,3.0,-1.0,86.0,-1.0,-1.0,46.0,8.0,-1.0,303.0,18.0,-1.0,36.0,-1.0,-1.0,263.0,91.0,89.0,71.0,-1.0,-1.0,71.0,71.0,4.0,432.0,216.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,gcc,39868.05,11122.0,1047.4,-1,0.0,0.05,70975.26315789473,82.0,204.0,148.0,5.0,5.0,3.0,108.0,-1.0,-1.0,8.0,-1.0,1.0,155.0,-1.0,-1.0,354.0,-1.0,1.0,650.0,367.0,188.0,74.0,7.0,1.0,-1.0,2.0,2.0,9.0,129.0,1.0,1.0,0.0,82.0,95.0,9.0,74.0,150.0,5.0,89.0,1.0,1.0,172.0,39.0,91.0,144.0,302.0,226.0,151.0,131.0,144.0,324.0,55.0,347.0,62.0,-1.0,1.0,75.0,1.0,121.0,82.0,22.0,75.0,8.0,-1.0,2.0,37.0,27.0,9.0,1.0,-1.0,1.0,6.0,4.0,1.0,1.0,-1.0,-1.0,-1.0,13.0,14.0,6.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/pde900.spf.c, AUTOVEC=true ,gcc,16296.25,2249.0,6816.1578947368425,true,0.016666666666666666,0.05,30166.21052631579,-1.0,-1.0,-1.0,-1.0,22.0,99.0,26.0,-1.0,62.0,-1.0,4.0,70.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,52.0,26.0,45.0,322.0,26.0,161.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/pde900.spf.c, MACVETH ,gcc,16343.0,2249.0,6799.8,-1,0.016666666666666666,0.05,30455.473684210527,43.0,1221.0,152.0,24.0,5.0,-1.0,48.0,-1.0,-1.0,-1.0,4.0,-1.0,267.0,-1.0,-1.0,141.0,-1.0,-1.0,422.0,252.0,114.0,98.0,-1.0,-1.0,94.0,95.0,5.0,569.0,350.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,64.0,1.0,2.0,1.0,1.0,51.0,7.0,3.0,3.0,136.0,17.0,2.0,8.0,3.0,262.0,44.0,262.0,47.0,1.0,4.0,32.0,14.0,3.0,2.0,1.0,32.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, AUTOVEC=true ,gcc,360074.6842105263,91620.0,81204.1,true,0.03333333333333333,0.05,629787.1578947369,-1.0,1212.0,124.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,2.0,-1.0,-1.0,220.0,-1.0,-1.0,1.0,-1.0,-1.0,229.0,7.0,39.0,135.0,-1.0,-1.0,33.0,135.0,12.0,612.0,303.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,gcc,382678.4736842105,90139.0,76991.2,-1,0.016666666666666666,0.05,645115.7894736842,4.0,4.0,100.0,71.0,20.0,3.0,161.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,16.0,237.0,-1.0,8.0,738.0,186.0,125.0,225.0,1.0,-1.0,-1.0,-1.0,40.0,1.0,4.0,1.0,1.0,39.0,551.0,219.0,10.0,238.0,4.0,-1.0,236.0,1.0,1.0,221.0,12.0,113.0,343.0,126.0,217.0,342.0,107.0,322.0,17.0,5.0,116.0,87.0,-1.0,-1.0,2.0,-1.0,14.0,98.0,131.0,2.0,4.0,-1.0,-1.0,5.0,5.0,-1.0,1.0,-1.0,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,6.0,-1.0,4.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
test-codes/power.spf.c, AUTOVEC=true ,gcc,121820.94736842105,32850.0,1627.6315789473683,true,0.03333333333333333,0.05,230135.8947368421,-1.0,8.0,-1.0,2.0,11.0,-1.0,219.0,-1.0,-1.0,97.0,2.0,-1.0,364.0,-1.0,22.0,8.0,-1.0,12.0,748.0,282.0,13.0,-1.0,7.0,-1.0,2.0,-1.0,-1.0,16.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/power.spf.c, MACVETH ,gcc,148920.36842105264,39500.0,4170.105263157895,-1,0.03333333333333333,0.05,276058.63157894736,4.0,16.0,94.0,-1.0,2.0,2.0,714.0,-1.0,-1.0,46.0,-1.0,-1.0,1577.0,-1.0,-1.0,369.0,-1.0,-1.0,2985.0,647.0,56.0,113.0,5.0,2.0,1.0,1.0,-1.0,6.0,7.0,1.0,1.0,0.0,846.0,165.0,11.0,134.0,4.0,-1.0,171.0,1.0,1.0,213.0,18.0,84.0,284.0,296.0,164.0,283.0,82.0,283.0,430.0,79.0,462.0,82.0,2.0,-1.0,2.0,-1.0,32.0,77.0,99.0,2.0,4.0,-1.0,-1.0,39.0,3.0,-1.0,1.0,-1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0
