MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/l9.spf.c, AUTOVEC=true ,gcc,32143.473684210527,9659.0,788.9473684210526,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,gcc,32006.052631578947,9659.0,626.7894736842105,-1,0.03333333333333333,1.0,0.0,0.0
test-codes/l9.spf.c, AUTOVEC=true ,icc,28176.42105263158,7834.0,647.1052631578947,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,icc,33743.3,8317.0,558.15,-1,0.0,1.0,0.0,0.0
