MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,DiscardedTscValues,tsc,vaddss_MEM_XMM_XMM,vaddss_XMM_XMM_XMM,vextractf128_IMM_YMM_XMM,vextractps_IMM_XMM_MEM,vfmadd132ps_MEM_XMM_XMM,vfmadd132ps_MEM_YMM_YMM,vfmadd132ss_MEM_XMM_XMM,vfmadd132ss_XMM_XMM_XMM,vfmadd213ps_MEM_YMM_YMM,vfmadd213ss_MEM_XMM_XMM,vfmadd231ps_MEM_XMM_XMM,vfmadd231ps_MEM_YMM_YMM,vfmadd231ss_MEM_XMM_XMM,vfmadd231ss_XMM_XMM_XMM,vinsertps_IMM_MEM_XMM_XMM,vmovaps_XMM_XMM,vmovdqa_XMM_XMM,vmovlhps_XMM_XMM_XMM,vmovss_MEM_XMM,vmovss_XMM_MEM,vmovups_MEM_XMM,vmovups_MEM_YMM,vmovups_XMM_MEM,vmovups_YMM_MEM,vmulps_MEM_XMM_XMM,vmulps_MEM_YMM_YMM,vshufps_IMM_MEM_XMM_XMM,vshufps_IMM_XMM_XMM_XMM,vunpckhps_XMM_XMM_XMM,vzeroupper,MACVETH,Scop Skipped,Scop Vect.,kmovb_GPR_GPR,kxnorb_GPR_GPR_GPR,leaq_MEM_GPR,vaddps_YMM_YMM_YMM,vblendps_IMM_MEM_YMM_YMM,vblendps_IMM_YMM_YMM_YMM,vcmpeqps_XMM_XMM_XMM,vcmpps_IMM_YMM_YMM_YMM,vextractf128_IMM_YMM_MEM,vfmadd132ps_YMM_YMM_YMM,vfmadd231ps_YMM_YMM_YMM,vgatherdps_XMM_MEM_XMM,vgatherdps_YMM_MEM_YMM,vinsertf32x4_IMM_MEM_YMM_YMM,vinsertf32x4_IMM_XMM_YMM_YMM,vinsertps_IMM_XMM_XMM_XMM,vmovaps_YMM_YMM,vmovdqa64_LABEL_XMM,vmovdqa64_LABEL_YMM,vmovhps_MEM_XMM_XMM,vmovhps_XMM_MEM,vmovlps_MEM_XMM_XMM,vmovlps_XMM_MEM,vmovss_XMM_XMM_XMM,vpermilps_IMM_YMM_YMM,vpinsrd_IMM_MEM_XMM_XMM,vscatterdps_XMM_MEM,vshufps_IMM_YMM_YMM_YMM,vxorps_XMM_XMM_XMM
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,gcc,9448.9,2082.0,1158.1,true,0.0,0.05,21200.315789473683,3.0,293.0,21.0,6.0,39.0,58.0,140.0,2.0,5.0,25.0,8.0,8.0,144.0,2.0,6.0,4.0,7.0,3.0,389.0,175.0,70.0,127.0,38.0,62.0,32.0,21.0,6.0,150.0,74.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,gcc,9866.95,2083.0,1118.35,-1,0.0,0.05,21844.0,12.0,258.0,49.0,6.0,14.0,64.0,79.0,-1.0,-1.0,5.0,4.0,7.0,113.0,-1.0,4.0,11.0,2.0,2.0,280.0,128.0,72.0,181.0,37.0,62.0,22.0,21.0,6.0,130.0,66.0,1.0,1.0,0.0,34.0,11.0,3.0,3.0,12.0,77.0,5.0,1.0,1.0,6.0,31.0,3.0,5.0,3.0,28.0,9.0,3.0,2.0,15.0,3.0,10.0,4.0,8.0,9.0,1.0,6.0,1.0,14.0,6.0,4.0
