compiler,compiler_flags,ELEMS,OFFSET,IDX0,IDX1,IDX2,IDX3,IDX4,IDX5,IDX6,IDX7,INSTRUCTIONS_RETIRED,CFG,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,CL_IDX4,CL_IDX5,CL_IDX6,CL_IDX7,DiscardedpapiValues,DiscardedtscValues,GATHER,N_CL,N_SET,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,SET_IDX4,SET_IDX5,SET_IDX6,SET_IDX7,loop_interchange,loops_vectorized,tsc,vgatherdps_YMM_GPR_GPR_MEM_YMM,vmovaps_YMM_YMM,SCATTER,kmovb_GPR_GPR,vmovq_XMM_GPR,vscatterdps_MEM_YMM,vxorps_XMM_XMM_XMM,overhead_instructions,overhead_loop
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,5,96,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,112.04400000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,5,96,14,7.732200000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,236.9752,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,5,96,112,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,120.39759999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,5,96,112,7.732200000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,216.21959999999999,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,6,7,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.15039999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,6,7,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.43980000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,6,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.89460000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,6,14,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.73960000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,6,112,5.732200000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,114.65900000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,6,112,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,207.2368,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,13,7,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.6192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,13,7,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0566,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,13,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.8758,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,13,14,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.5134,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,13,112,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,119.15899999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,13,112,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,209.977,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,96,7,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,115.8042,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,96,7,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,233.964,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,96,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,118.1978,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,96,14,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,233.179,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,96,112,5.732200000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,123.08579999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,12,96,112,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.1,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,215.6228,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,6,7,5.7322,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,117.3084,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,6,7,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,234.673,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,6,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,118.3602,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,6,14,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,235.36239999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,6,112,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,120.41039999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,6,112,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,257.0458,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,13,7,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,118.9962,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,13,7,7.732200000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,234.689,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,13,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,117.3878,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,13,14,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,237.56620000000004,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,13,112,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,122.83940000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,13,112,7.732200000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,255.62960000000004,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,96,7,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,122.2388,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,96,7,7.732200000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,263.6402,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,96,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,122.83419999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,96,14,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.1,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,253.0902,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,96,112,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,127.05699999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,4,80,96,112,7.732100000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,220.59740000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,6,7,5.7322,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0764,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,6,7,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.91060000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,6,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.7058,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,6,14,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.5026,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,6,112,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,111.51140000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,6,112,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,210.6074,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,13,7,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.12460000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,13,7,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0132,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,13,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.28240000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,13,14,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.40699999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,13,112,5.732200000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,115.912,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,13,112,7.732200000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,214.042,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,96,7,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,117.60940000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,96,7,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,235.3442,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.092
gcc-11, -march=native -mtune=native -Ofast ,8,65536,0,1,2,3,11,5,96,14,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,113.72139999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.092
