compiler,compiler_flags,ELEMS,OFFSET,IDX0,IDX1,IDX2,IDX3,INSTRUCTIONS_RETIRED,CFG,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,DiscardedpapiValues,DiscardedtscValues,GATHER,N_CL,N_SET,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,loop_interchange,loops_vectorized,tsc,vgatherdps_XMM_GPR_GPR_MEM_XMM,vmovaps_XMM_XMM,SCATTER,kmovb_GPR_GPR,vmovq_XMM_GPR,vscatterdps_MEM_XMM,vxorps_XMM_XMM_XMM,overhead_instructions,overhead_loop
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,2,3,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.603,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,2,10,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,114.8394,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,2,10,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.8704,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,2,48,5.732,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,118.7828,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,2,48,7.732000000000001,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,214.2554,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,9,3,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116.9222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,9,3,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,204.089,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,9,10,5.732,-DGATHER,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.15520000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,9,10,7.732000000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,203.9352,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,9,48,5.7322,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,121.02860000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,9,48,7.7323,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,213.252,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,32,3,5.732,-DGATHER,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,113.41680000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,32,3,7.732000000000001,-DSCATTER,0.0,0.0,2.0,0.0,0.1,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,228.89499999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,32,10,5.732,-DGATHER,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,120.333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,32,10,7.732200000000001,-DSCATTER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,231.46999999999997,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,32,48,5.732,-DGATHER,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,126.869,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,8,32,48,7.732000000000001,-DSCATTER,0.0,0.0,2.0,3.0,0.1,0.0,0.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,217.38479999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,2,3,5.732,-DGATHER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,116.85819999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,2,3,7.732000000000001,-DSCATTER,0.0,1.0,0.0,0.0,0.1,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,234.97359999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,2,10,5.732200000000001,-DGATHER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,116.6396,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,2,10,7.7323,-DSCATTER,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,233.35040000000004,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,2,48,5.732,-DGATHER,0.0,1.0,0.0,3.0,0.1,0.0,1.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,119.6632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,2,48,7.732000000000001,-DSCATTER,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,268.0902,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
